time,P
2023-03-27 8:48:44.3090,100130.71
2023-03-27 8:48:45.3870,100133.26
2023-03-27 8:48:46.4540,100135.77
2023-03-27 8:48:47.5210,100137.55
2023-03-27 8:48:48.5860,100138.79
2023-03-27 8:48:49.6630,100139.6
2023-03-27 8:48:50.7300,100139.92
2023-03-27 8:48:51.7950,100139.94
2023-03-27 8:48:52.8650,100140.08
2023-03-27 8:48:53.9420,100140.1
2023-03-27 8:48:55.0060,100140.1
2023-03-27 8:48:56.0700,100139.97
2023-03-27 8:48:57.1390,100139.97
2023-03-27 8:48:58.2140,100139.89
2023-03-27 8:48:59.2810,100139.86
2023-03-27 8:49:00.3480,100139.86
2023-03-27 8:49:01.4170,100139.93
2023-03-27 8:49:02.4940,100140.03
2023-03-27 8:49:03.5600,100140.09
2023-03-27 8:49:04.6300,100140.09
2023-03-27 8:49:05.6970,100140.09
2023-03-27 8:49:06.7740,100140.07
2023-03-27 8:49:07.8390,100140.13
2023-03-27 8:49:08.9080,100140.23
2023-03-27 8:49:09.9750,100140.27
2023-03-27 8:49:11.0470,100140.27
2023-03-27 8:49:12.1130,100140.25
2023-03-27 8:49:13.1820,100140.21
2023-03-27 8:49:14.2480,100139.92
2023-03-27 8:49:15.3290,100139.77
2023-03-27 8:49:16.3940,100139.17
2023-03-27 8:49:17.4700,100138.24
2023-03-27 8:49:18.5380,100136.55
2023-03-27 8:49:19.6050,100134.5
2023-03-27 8:49:20.6710,100131.85
2023-03-27 8:49:21.7400,100129.52
2023-03-27 8:49:22.8110,100127.62
2023-03-27 8:49:23.8790,100126.32
2023-03-27 8:49:24.9460,100125.46
2023-03-27 8:49:26.0230,100124.6
2023-03-27 8:49:27.0910,100123.08
2023-03-27 8:49:28.1580,100121.09
2023-03-27 8:49:29.2240,100118.5
2023-03-27 8:49:30.2910,100115.28
2023-03-27 8:49:31.3670,100112.51
2023-03-27 8:49:32.4350,100110.06
2023-03-27 8:49:33.5020,100107.41
2023-03-27 8:49:34.5730,100104.6
2023-03-27 8:49:35.6560,100102.27
2023-03-27 8:49:36.7120,100100.17
2023-03-27 8:49:37.7790,100098.37
2023-03-27 8:49:38.8410,100097.47
2023-03-27 8:49:39.9240,100097.47
2023-03-27 8:49:40.9910,100097.49
2023-03-27 8:49:42.0570,100097.56
2023-03-27 8:49:43.1200,100097.56
2023-03-27 8:49:44.2070,100097.22
2023-03-27 8:49:45.2650,100097.02
2023-03-27 8:49:46.3320,100096.99
2023-03-27 8:49:47.4000,100096.8
2023-03-27 8:49:48.4760,100096.79
2023-03-27 8:49:49.5450,100096.76
2023-03-27 8:49:50.6110,100096.76
2023-03-27 8:49:51.6760,100096.74
2023-03-27 8:49:52.7580,100096.57
2023-03-27 8:49:53.8190,100096.53
2023-03-27 8:49:54.8870,100096.5
2023-03-27 8:49:55.9550,100096.49
2023-03-27 8:49:57.0310,100096.32
2023-03-27 8:49:58.0980,100096.32
2023-03-27 8:49:59.1630,100096.35
2023-03-27 8:50:00.2310,100096.35
2023-03-27 8:50:01.3070,100096.3
2023-03-27 8:50:02.3730,100096.18
2023-03-27 8:50:03.4410,100096.1
2023-03-27 8:50:04.5090,100096.06
2023-03-27 8:50:05.5840,100095.99
2023-03-27 8:50:06.6530,100096.06
2023-03-27 8:50:07.7170,100096.1
2023-03-27 8:50:08.7840,100096.15
2023-03-27 8:50:09.8610,100096.18
2023-03-27 8:50:10.9300,100096.18
2023-03-27 8:50:11.9940,100096.16
2023-03-27 8:50:13.0610,100096.08
2023-03-27 8:50:14.1280,100095.87
2023-03-27 8:50:15.2140,100095.74
2023-03-27 8:50:16.2710,100095.66
2023-03-27 8:50:17.3380,100095.57
2023-03-27 8:50:18.4030,100095.41
2023-03-27 8:50:19.4820,100095.41
2023-03-27 8:50:20.5490,100095.41
2023-03-27 8:50:21.6160,100095.31
2023-03-27 8:50:22.6830,100095.24
2023-03-27 8:50:23.7670,100095.24
2023-03-27 8:50:24.8270,100095.09
2023-03-27 8:50:25.8940,100095.07
2023-03-27 8:50:26.9600,100095.01
2023-03-27 8:50:28.0360,100094.92
2023-03-27 8:50:29.1030,100094.88
2023-03-27 8:50:30.1670,100094.79
2023-03-27 8:50:31.2400,100094.64
2023-03-27 8:50:32.3160,100094.52
2023-03-27 8:50:33.3950,100094.44
2023-03-27 8:50:34.4460,100094.44
2023-03-27 8:50:35.5130,100094.37
2023-03-27 8:50:36.5890,100094.3
2023-03-27 8:50:37.6560,100094.25
2023-03-27 8:50:38.7270,100094.1
2023-03-27 8:50:39.7940,100093.75
2023-03-27 8:50:40.8710,100093.35
2023-03-27 8:50:41.9390,100093.16
2023-03-27 8:50:43.0030,100093.04
2023-03-27 8:50:44.0700,100092.89
2023-03-27 8:50:45.1440,100092.89
2023-03-27 8:50:46.2090,100093.06
2023-03-27 8:50:47.2790,100093.25
2023-03-27 8:50:48.3450,100093.25
2023-03-27 8:50:49.4220,100093.31
2023-03-27 8:50:50.4870,100093.35
2023-03-27 8:50:51.5580,100093.35
2023-03-27 8:50:52.6250,100093.35
2023-03-27 8:50:53.6920,100093.27
2023-03-27 8:50:54.7650,100093.25
2023-03-27 8:50:55.8330,100093.19
2023-03-27 8:50:56.9000,100093.11
2023-03-27 8:50:57.9640,100093.08
2023-03-27 8:50:59.0440,100092.87
2023-03-27 8:51:00.1090,100092.69
2023-03-27 8:51:01.1760,100092.65
2023-03-27 8:51:02.2420,100092.37
2023-03-27 8:51:03.3200,100092.31
2023-03-27 8:51:04.3890,100092.25
2023-03-27 8:51:05.4540,100092.25
2023-03-27 8:51:06.5190,100092.27
2023-03-27 8:51:07.5960,100092.27
2023-03-27 8:51:08.6630,100092.14
2023-03-27 8:51:09.7290,100092.03
2023-03-27 8:51:10.7960,100092.0
2023-03-27 8:51:11.8720,100091.97
2023-03-27 8:51:12.9470,100091.97
2023-03-27 8:51:14.0060,100092.06
2023-03-27 8:51:15.0730,100092.35
2023-03-27 8:51:16.1390,100092.41
2023-03-27 8:51:17.2240,100092.45
2023-03-27 8:51:18.2840,100092.52
2023-03-27 8:51:19.3500,100092.57
2023-03-27 8:51:20.4150,100092.57
2023-03-27 8:51:21.5010,100092.48
2023-03-27 8:51:22.5610,100092.38
2023-03-27 8:51:23.6270,100092.26
2023-03-27 8:51:24.6940,100091.45
2023-03-27 8:51:25.7790,100089.94
2023-03-27 8:51:26.8380,100087.78
2023-03-27 8:51:27.9030,100085.13
2023-03-27 8:51:28.9710,100081.76
2023-03-27 8:51:30.0500,100078.47
2023-03-27 8:51:31.1180,100075.33
2023-03-27 8:51:32.1850,100072.1
2023-03-27 8:51:33.2480,100068.49
2023-03-27 8:51:34.3230,100064.97
2023-03-27 8:51:35.3930,100061.41
2023-03-27 8:51:36.4580,100057.53
2023-03-27 8:51:37.5260,100054.23
2023-03-27 8:51:38.6020,100051.7
2023-03-27 8:51:39.6780,100049.55
2023-03-27 8:51:40.7370,100048.52
2023-03-27 8:51:41.8010,100048.52
2023-03-27 8:51:42.8670,100048.6
2023-03-27 8:51:43.9450,100048.97
2023-03-27 8:51:45.0120,100049.38
2023-03-27 8:51:46.0810,100049.49
2023-03-27 8:51:47.1470,100049.49
2023-03-27 8:51:48.2290,100049.47
2023-03-27 8:51:49.2910,100049.47
2023-03-27 8:51:50.3580,100049.69
2023-03-27 8:51:51.4250,100049.72
2023-03-27 8:51:52.5080,100049.93
2023-03-27 8:51:53.5680,100050.16
2023-03-27 8:51:54.6350,100050.16
2023-03-27 8:51:55.7020,100050.16
2023-03-27 8:51:56.7790,100050.13
2023-03-27 8:51:57.8450,100050.19
2023-03-27 8:51:58.9100,100050.19
2023-03-27 8:51:59.9780,100050.38
2023-03-27 8:52:01.0530,100050.54
2023-03-27 8:52:02.1210,100050.71
2023-03-27 8:52:03.1890,100051.03
2023-03-27 8:52:04.2570,100051.19
2023-03-27 8:52:05.3330,100051.29
2023-03-27 8:52:06.3970,100051.35
2023-03-27 8:52:07.4680,100051.44
2023-03-27 8:52:08.5340,100051.46
2023-03-27 8:52:09.6100,100051.56
2023-03-27 8:52:10.6840,100051.77
2023-03-27 8:52:11.7430,100051.77
2023-03-27 8:52:12.8100,100052.1
2023-03-27 8:52:13.8860,100052.17
2023-03-27 8:52:14.9560,100052.25
2023-03-27 8:52:16.0190,100052.28
2023-03-27 8:52:17.0860,100052.25
2023-03-27 8:52:18.1630,100052.24
2023-03-27 8:52:19.2290,100052.07
2023-03-27 8:52:20.2960,100051.99
2023-03-27 8:52:21.3630,100051.88
2023-03-27 8:52:22.4280,100051.88
2023-03-27 8:52:23.5040,100051.95
2023-03-27 8:52:24.5740,100052.07
2023-03-27 8:52:25.6510,100052.15
2023-03-27 8:52:39.6330,100052.49
2023-03-27 8:52:39.6340,100052.49
2023-03-27 8:52:39.6350,100052.49
2023-03-27 8:52:39.6360,100052.49
2023-03-27 8:52:39.8750,100053.09
2023-03-27 8:52:40.8730,100053.35
2023-03-27 8:52:41.8810,100053.25
2023-03-27 8:52:42.8770,100053.4
2023-03-27 8:52:43.8840,100053.41
2023-03-27 8:52:45.3230,100053.42
2023-03-27 8:52:46.3890,100053.42
2023-03-27 8:52:47.4560,100053.42
2023-03-27 8:52:48.5230,100053.59
2023-03-27 8:52:49.6000,100053.59
2023-03-27 8:52:50.6670,100053.68
2023-03-27 8:52:51.7330,100053.73
2023-03-27 8:52:52.7990,100053.73
2023-03-27 8:52:53.8850,100053.54
2023-03-27 8:52:54.9440,100053.5
2023-03-27 8:52:56.0110,100053.46
2023-03-27 8:52:57.0810,100053.38
2023-03-27 8:52:58.1600,100053.38
2023-03-27 8:52:59.2250,100053.44
2023-03-27 8:53:00.2920,100053.48
2023-03-27 8:53:01.3570,100053.5
2023-03-27 8:53:02.4330,100053.48
2023-03-27 8:53:03.4980,100053.47
2023-03-27 8:53:04.5670,100053.39
2023-03-27 8:53:05.6350,100053.26
2023-03-27 8:53:06.7100,100053.11
2023-03-27 8:53:07.7780,100052.99
2023-03-27 8:53:08.8430,100052.9
2023-03-27 8:53:09.9110,100052.89
2023-03-27 8:53:10.9880,100052.9
2023-03-27 8:53:12.0520,100052.95
2023-03-27 8:53:22.5080,100053.15
2023-03-27 8:53:22.5100,100053.15
2023-03-27 8:53:22.5110,100053.15
2023-03-27 8:53:22.5120,100053.15
2023-03-27 8:53:23.2930,100052.64
